Country,ISO Code,url,GDP,Population,Population growth rate,Exports,Current account balance,Imports,Mean Elevation (m),Coastline (km),Irrigated Land (sq km),Total area,Age structure - 0-14 years Rate,Age structure - 15-64 years Rate,Age structure - 65 years and over Rate,Total dependency ratio,Youth dependency ratio,Elderly dependency ratio,Potential support ratio,Median age,Median age - male,Median age - female,Birth rate/1000 people,Death rate/1000 people,Net migration rate/1000 people,Urban Population ratio,Urban population growth rate,Sex ratio at birth(male/female),Sex ratio 0-14 years(male/female),Sex ratio 15-64 years(male/female),Sex ratio 65 years and over(male/female),Sex ratio - total population(male/female),Mother's mean age at first birth,"Maternal mortality ratio (deaths/100,000 live births)",Infant mortality rate (per 1000 live births),Infant mortality rate - male,Infant mortality rate - female,Life expectancy at birth (years),Life expectancy at birth - male,Life expectancy at birth - female,Fertility rate (children born/women),Gross reproduction rate,Contraceptive prevalence rate,Improved Drinking Access Urban,Improved Drinking Access Rural,Improved Drinking Access Total,Unimproved Drinking Access Urban,Unimproved Drinking Access Rural,Unimproved Drinking Access Total,Current health expenditure (% of GDP),Physicians density (per 1000 people),Hospital bed density (beds per 1000 people),Improved Sanitation Access Urban,Improved Sanitation Access Rural,Improved Sanitation Access Total,Unimproved Sanitation Access Urban,Unimproved Sanitation Access Rural,Unimproved Sanitation Access Total,Obesity - adult prevalence rate,Alcohol consumption per capita (liters of pure alcohol),Alcohol consumption per capita - beer (liters of pure alcohol),Alcohol consumption per capita - wind (liters of pure alcohol),Alcohol consumption per capita - spirits (liters of pure alcohol),Alcohol consumption per capita - other alcohols (liters of pure alcohol),Tobacco use rate,Tobacco use rate - male,Tobacco use rate - female,Children under 5 years underweight rate,Married women (ages 15-49) rate,Women married by age 15 rate,Women married by age 18 rate,Education expenditures (% of GDP),Literacy rate,Literacy rate - male,Literacy rate - female,School life expectancy,School life expectancy - male,School life expectancy - female,Youth unemployment rate (ages 15-24),Youth unemployment rate (ages 15-24) - male,Youth unemployment rate (ages 15-24) - female,Forest land (% of land area),Agricultural land (% of land area),Other land (% of land area),Revenue from forest resources (% of GDP),Revenue from coal (% of GDP),Particulate matter emissions (micrograms per cubic meter),Carbon dioxide emissions (megatons),Methane emissions (megatons),Annual municipal solid waste (tons),Municipal water withdrawal (cubic meters),Industrial water withdrawal (cubic meters),Agricultural water withdrawal (cubic meters),Renewable water resources (cubic meters),GDP growth rate,GDP per capita growth rate,GDP (official exchange rate),Inflation rate,GDP by sector agriculture composition,GDP by sector industry composition,GDP by sector services composition,GDP by end use household composition,GDP by end use government composition,GDP by end use fixed capital investment composition,GDP by end use inventories investment composition,GDP by end use exports composition,GDP by end use - imports composition,Industrial production growth rate,Labor force,Agriculture labor force,Industry labor force,Services labor force,Unemployment rate,Population below poverty line,Gini Index coefficient,Household income(Lowest 10%) by percentage share,Household income(Highest 10%) by percentage share,Revenues,Expenditures,Budget Balance (% of GDP),Public debt (% of GDP),Taxes and other revenues (% of GDP),Current account balance (% of GDP),Currency and gold reserves,External debt,Exchange rates to USD,Electricity access rate,Electricity access rate - rural,Electricity access rate - urban,Electricity installed capacity (kW),Electricity consumption (kWh),Electricity exports (kWh),Electricity imports (kWh),Electricity transmission losses (kWh),Electricity fossil fuel generation (% of total capacity),Electricity nuclear generation (% of total capacity),Electricity hydro generation (% of total capacity),Electricity wind generation (% of total capacity),Electricity solar generation (% of total capacity),Electricity geothermal generation (% of total capacity),Electricity tide and wave generation,Electricity biomass and waste generation (% of total capacity),Coal production (metric tons),Coal consumption (metric tons),Coal exports (metric tons),Coal imports (metric tons),Coal reserves (metric tons),Petroleum production (bbl/day),Petroleum consumption (bbl/day),Petroleum exports (bbl/day),Petroleum imports (bbl/day),Refined petroleum products production (bbl/day),Refined petroleum products exports (bbl/day),Refined petroleum products imports (bbl/day),Natural gas production (cubic meters),Natural gas consumption (cubic meters),Natural gas exports (cubic meters),Natural gas imports (cubic meters),Natural gas reserves (cubic meters),Energy: Carbon dioxide emissions (metric tonnes),Coal emissions (metric tonnes),Petroleum emissions (metric tonnes),Gas emissions (metric tonnes),Energy consumption per capita (Btu/preson),Telephone fixed line subscriptions (per 100 people),Telephone mobile subscriptions (per 100 people),Internet users/total population,Broadband fixed subscriptions (per 100 people),Registered air carriers,Inventory of registered aircraft,Annual passenger traffic on air carriers,Annual freight traffic on air carriers (mt-km),Airports,Airports with paved runways,Airports with unpaved runways,Heliports,Total Roadways (km),Paved Roadways (km),Unpaved Roadways (km),Military expenditures (% of GDP)
Afghanistan,AFG,https://www.cia.gov/the-world-factbook/countries/afghanistan/,60803000000.0,39232003,2.26,1476000000.0,3897000000.0,7988000000.0,1884.0,0.0,24930.0,652230.0,39.8,57.35,2.85,84.6,80.2,4.8,22.5,19.9,19.8,20,34.8,12.1,-0.1,26.9,3.34,1.05,1.03,1.03,0.85,1.03,19.9,620,103.1,111.5,94.2,54.1,52.5,55.7,4.53,2.21,18.9,100,68.3,76.5,0,31.7,23.5,15.5,0.25,0.4,88.2,52,61.4,11.8,48,38.6,5.5,0.01,0,0,0.01,0,23.3,39.4,7.2,19.1,70.3,4.2,28.3,2.9,37.3,52.1,22.6,10,13,8,20.2,18.6,26.4,1.8,58.1,40.1,0.2,0.45,62.49,8.67,90.98,5628525 tons,200000000.0,170000000.0,20000000000.0,65330000000.0,-20.74,1500,20240000000.0,2.3,23,21.1,55.9,81.6,12,17.2,30,6.7,-47.6,-14.19,9390000.0,44.3,18.1,37.6,13.28,54.5,29.4,3.8,24,5093000000.0,5293000000.0,-15.1,7,9.9,-3137000000.0,9749000000.0,284000000.0,76.814,97.7,97,99.5,776000 kW,5913000000.0,0 kWh,4912000000.0,61600000.0,15.9,0,79.1,0,5.1,0,0,0,2096000.0,2096000.0,0 metric tons,0 metric tons,66000000.0,0,24300,0,0,0,0,34210,80193000.0,80193000.0,0 cubic meters,0 cubic meters,49554000000.0,7893000.0,4158000.0000000005,3468000.0,267000 metric tonnes of CO2,3227000.0,(2021,57,18,0.1,3,13,1722612,29560000.0,46,29,17,1,34903 km,17903 km,17000 km,3.3
Albania,ALB,https://www.cia.gov/the-world-factbook/countries/albania/,40822000000.0,3101621,0.19,5612000000.0,1219000000.0,6926000000.0,708.0,362.0,1820.0,28748.0,17.9,67.53,14.57,48.2,24.1,24.1,4.2,35.8,34.3,37.2,12.5,7.4,-3.2,64.6,1.29,1.07,1.1,0.97,0.85,0.97,26.6,8,10.5,11.6,9.5,79.7,77,82.6,1.55,0.75,46,97.3,96.4,97,2.7,3.6,3,6.7,1.88,2.9,99.8,100,99.9,0.2,0.5,0.1,21.7,4.4,1.75,1.15,1.43,0.08,22.4,38.8,6,1.5,67.2,1.4,11.8,3.1,98.4,98.7,98.2,14,13,15,27.8,28,27.6,28.8,42.8,28.2,0.18,0.03,16.28,4.54,2.55,1142964 tons,230000000.0,20000000.0,550000000.0,30200000000.0,8.52,14500,15273000000.0,2.04,21.7,24.2,54.1,78.1,11.5,25.2,0.2,31.5,-46.6,16,1378000.0,41.4,18.3,40.3,11.82,14.3,30.8,4.1,19.6,4190000000.0000005,4489000000.0,-2,84.06,17.02,-1370000000.0,5635000000.0,9311000000.0,103.52,100,nan,nan,2531000.0,6527980000 kWh,963000000.0,3239000000.0,1054000000.0,0,0,99.4,0,0.6,0,0,0,9000 metric tons,119000 metric tons,0 metric tons,110000 metric tons,522000000.0,16100,26400,10500,0,5638,3250,26660,42050000.0,42050000.0,0 cubic meters,0 cubic meters,5692000000.0,3794000.0,235000 metric tonnes of CO2,3482000.0,78000 metric tonnes of CO2,38442000.0,7,92,79,18,2,5,303137,nan,3,3,nan,nan,3945 km,(2002),(2002),1.8
Algeria,DZA,https://www.cia.gov/the-world-factbook/countries/algeria/,487716000000.0,44758398,1.62,41776000000.0,16954000000.0,54259000000.0,800.0,998.0,12605.0,2381740.0,28.78,64.29,6.93,58.5,48.7,9.8,10.2,28.9,28.6,29.2,20.9,4.4,-0.4,75.3,1.99,1.05,1.05,1.03,0.91,1.03,nan,78,18.8,19.9,17.6,77.8,77,78.6,2.97,1.45,53.6,99.6,98.8,99.4,0.4,1.2,0.6,6.3,1.72,1.9,98.3,91.3,96.5,1.7,8.7,3.5,27.4,0.59,0.31,0.2,0.08,0,21,41.3,0.7,2.7,56,nan,3.8,7,81.4,87.4,75.3,nan,nan,nan,31.9,27.8,54,0.8,17.4,81.8,0.1,0,22.68,150.01,49.94,12378740 tons,3600000000.0,190000000.0,6670000000.0,11670000000.0,3.5,11000,169912000000.0,7.23,13.3,39.3,47.4,42.7,20.2,38.1,11.2,23.6,-35.8,7.36,12312000.0,10.8,30.9,58.4,12.7,5.5,27.6,2.8,26.8,55185000000.0,64727999999.99999,-9.6,27.5,32.3,-4608000000.0,56211000000.0,5574000000.0,135.064,99.8,99.2,99.6,21694000.0,66646000000.0,673000000.0,531000000.0,9897000000.0,98.9,0,0.1,0,0.9,0,0,0,0 metric tons,85000 metric tons,0 metric tons,85000 metric tons,59000000.0,1414800,450500,633500,4100,627900,578800,82930,87853976000 cubic meters,46945035000 cubic meters,42667386000 cubic meters,0 cubic meters,4503900000000 cubic meters,151633000.0,352000 metric tonnes of CO2,57867000.0,93414000.0,61433000.0,12,106,71,9,3,87,6442442,28280000.0,149,67,82,4,104000 km,71656 km,32344 km,4.8
American Samoa,ASM,https://www.cia.gov/the-world-factbook/countries/american-samoa/,658000000.0,44620,-1.74,428000000.0,,615000000.0,,116.0,0.0,224.0,25.91,65.89,8.2,52.3,41.9,10.4,9.6,29.4,28.8,30,16.2,6.2,-27.4,87.2,0.26,1.06,1.06,0.97,0.88,0.99,nan,nan,9.9,11.9,7.7,75.6,73.1,78.2,2.13,1.04,nan,99.8,,,0.2,,,nan,nan,nan,99,,,1,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,53.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,75.5,24.5,0,0,0,nan,nan,nan,18989 tons,nan,nan,nan,nan,-1.87,11200,658000000.0,-0.5,27.4,12.4,60.2,66.4,49.7,7.3,5.1,65,-93.5,nan,17850,nan,15.5,46.4,29.8,nan,nan,nan,nan,249000000.0,262500000.0,-2.1,12.2,37.8,nan,nan,nan,nan,59,45,60,47000 kW,151000000.0,0 kWh,0 kWh,12000000.0,100,0,0,0,0,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,2300,0,0,0,0,2346,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,355000 metric tonnes of CO2,0 metric tonnes of CO2,355000 metric tonnes of CO2,0 metric tonnes of CO2,88796000.0,22,4,40.3,nan,nan,,nan,nan,3,3,nan,nan,241 km,nan,nan,nan
Andorra,AND,https://www.cia.gov/the-world-factbook/countries/andorra/,3327000000.0,85468,-0.11,1842000000.0,448869000.0,1727000000.0,1996.0,0.0,0.0,468.0,12.31,68.17,19.52,38.1,18.1,20.1,5,48.1,48.1,48.1,6.9,8,0,87.8,0.11,1.07,1.06,1.05,1.03,1.05,32.8,nan,3.4,3.5,3.3,83.6,81.4,86,1.46,0.7,nan,100,100,100,0,0,0,9.1,3.63,2.5,100,100,100,0,0,0,25.6,10.99,3.59,4.98,2.32,0,31.8,35.3,28.3,nan,nan,nan,nan,2.9,100,100,100,nan,nan,nan,nan,nan,nan,34,40,26,0,nan,8.52,0.47,0.05,43000 tons,nan,nan,nan,320000000.0,8.95,49900,2712000000.0,-0.9,11.9,33.6,54.5,nan,nan,nan,nan,nan,nan,-3.9,39750,0.5,4.4,95.1,3.7,nan,nan,nan,nan,1872000000.0,2060000000.0,-6.9,41,69,448869000.0,nan,0,0.845,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63,110,94,48,nan,,nan,nan,nan,nan,nan,nan,320 km,nan,nan,nan
Angola,AGO,https://www.cia.gov/the-world-factbook/countries/angola/,203868000000.0,35981281,3.34,33674999999.999996,8398999999.999999,22299000000.0,1112.0,1600.0,860.0,1246700.0,47.18,50.49,2.33,91.5,86.5,5,20.1,16.2,15.7,16.7,41.4,7.8,-0.2,68.7,4.04,1.03,1,0.93,0.72,0.96,19.4,222,57.2,62.4,51.9,62.5,60.4,64.7,5.76,2.84,13.7,81.3,36.5,66.5,18.7,63.5,33.5,2.9,0.21,nan,93.7,30.3,72.7,6.3,69.7,27.3,8.2,5.84,3.78,0.72,1.27,0.08,nan,nan,nan,19,55.7,7.9,30.3,2.4,71.1,82.6,62.4,nan,nan,nan,18.5,18.2,18.8,54.3,45.7,nan,0.36,0,27.16,34.69,23.28,4213644 tons,320000000.0,240000000.0,150000000.0,148400000000.0,1.1,5900,97261000000.0,25.75,10.2,61.4,28.4,80.6,15.6,10.3,-1.2,25.4,-30.7,-8.34,14462000.0,85,15,nan,8.53,32.3,51.3,0.6,44.7,17899000000.0,17244000000.0,-6.7,65,10.09,8398999999.999999,14468000000.0,42080000000.0,631.442,48.2,7.3,74.9,7344000.0,11815000000.0,0 kWh,0 kWh,1741000000.0,28.4,0,70.1,0,0.1,0,0,1.4,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,1197600,133400,1367400,0,53480,30340,111600,6767715000 cubic meters,860887000.0,5877945000 cubic meters,0 cubic meters,343001000000.0,19362000.0,0 metric tonnes of CO2,17673000.0,1689000.0,11693000.0,(2021,44,33,0.7,10,55,1516628,78160000.0,102,32,70,1,26000 km,13600 km,12400 km,1.3
Anguilla,AIA,https://www.cia.gov/the-world-factbook/countries/anguilla/,175400000.0,19079,1.77,7900000.0,25300000.0,186200000.0,,61.0,0.0,91.0,21,67.88,11.12,38.6,24.4,14.1,7.1,36.8,34.6,38.6,11.9,4.7,10.5,100,0.47,1.03,1.03,0.84,0.96,0.89,nan,nan,3,3.9,2.1,82.4,79.8,85.1,1.72,0.85,nan,97.5,97.5,,2.5,2.5,,nan,nan,nan,99.1,99.1,,0.9,0.9,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.1,nan,nan,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,61.1,0,38.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8.5,12200,175400000.0,1.3,3,10.5,86.4,74.1,18.3,26.8,0,48.2,-67.4,4,6049,74.1,3,18,8,23,nan,nan,nan,81920000.0,80320000.0,0.9,20.1,46.7,-23200000.0,76380000.0,41040000.0,2.7,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38,170,81.6,35,2,4,nan,nan,1,1,nan,nan,175 km,82 km,93 km,nan
Antarctica,ATA,https://www.cia.gov/the-world-factbook/countries/antarctica/,,,nan,,,,2300.0,17968.0,,,nan,nan,nan,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,nan,nan,nan,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0 kW,0 kWh,0 kWh,0 kWh,0 kWh,nan,nan,nan,nan,nan,nan,nan,nan,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,100,0,0,nan,nan,nan,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,28000 metric tonnes of CO2,0 metric tonnes of CO2,28000 metric tonnes of CO2,0 metric tonnes of CO2,0 Btu/person,nan,nan,100,nan,nan,,nan,nan,17,nan,17,53,nan,nan,nan,nan
Antigua and Barbuda,ATG,https://www.cia.gov/the-world-factbook/countries/antigua-and-barbuda/,1783000000.0,101489,1.13,749476000.0,126907000.0,737693000.0,,153.0,,443.0,21.97,67.94,10.09,40.9,26.5,14.4,7,33.6,31.6,35.4,15,5.7,2,24.3,0.87,1.05,1.03,0.87,0.75,0.89,nan,21,14,16.8,10.9,78,75.9,80.3,1.94,0.95,nan,96.7,,,3.2,,,5.6,2.76,2.9,91.7,,,8.1,,,18.9,11.88,2.97,3.95,4.55,0.41,nan,nan,nan,nan,31.5,nan,nan,3.8,99,98.4,99.4,15,14,16,nan,nan,nan,18.8,20.5,60.8,0,0,8.3,0.56,0.22,30585 tons,10000000.0,2500000.0,1800000.0,50000000.0,5.27,19100,1524000000.0,2.06,1.8,20.8,77.3,53.5,15.2,23.9,0.1,73.9,-66.5,8.26,30000,7,11,82,11,nan,nan,nan,nan,278000000.0,357000000.0,-2.4,86.8,19.6,-220871000.0,367512000.0,441200000.0,2.7,100,nan,nan,117000 kW,278000000.0,0 kWh,0 kWh,65000000.0,95.4,0,0,0,4.6,0,0,0,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0 metric tons,0,5000,0,0,0,91,5065,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,0 cubic meters,729000 metric tonnes of CO2,0 metric tonnes of CO2,729000 metric tonnes of CO2,0 metric tonnes of CO2,107154000.0,27,200,96,8,1,10,580174,290000,3,2,1,nan,1170 km,386 km,784 km,nan
Argentina,ARG,https://www.cia.gov/the-world-factbook/countries/argentina/,986134000000.0,46621847,0.8,87415000000.0,6708000000.0,66574000000.0,595.0,4989.0,23600.0,2780400.0,23.51,63.83,12.66,54.3,36,18.2,5.5,33,31.8,34.3,15.4,7.3,-0.1,92.5,0.97,1.07,1.06,1.01,0.74,0.98,nan,45,9.1,10.1,8.1,78.6,75.5,81.8,2.17,1.05,70.1,99.8,,,0.2,,,10,4.06,5,100,,,,,,28.3,7.95,3.62,2.88,0.72,0.72,24.5,29.4,19.6,1.7,48.9,2.4,15.5,5,99,98.9,99.1,18,17,20,29.9,25,37.1,10.7,53.9,35.4,0.09,0,12.04,201.35,120.66,17910550 tons,5850000000.0,4000000000.0,27930000000.0,876240000000.0,10.4,21500,447467000000.0,25.7,10.8,28.1,61.1,65.9,18.2,14.8,3.7,11.2,-13.8,15.26,21206000.0,5.3,28.6,66.1,10.9,35.5,42.3,1.8,31,150823000000.0,170725000000.0,-6,57.6,10.87,6708000000.0,39653000000.0,278524000000.0,94.991,100,nan,nan,44731000.0,121563940000 kWh,261000000.0,7802000000.0,20740000000.0,65.8,7.3,17.6,6.8,1,0,0,1.5,829000 metric tons,1550000.0,4000 metric tons,990000 metric tons,500000000.0,690200,680000,59100,11400,669800,58360,121400,41194148000 cubic meters,49476585000 cubic meters,691241000.0,6865323000 cubic meters,396464000000.0,193205000.0,2122000.0,94208000.0,96875000.0,79083000.0,15,130,87,21,6,107,18081937,311570000.0,916,161,977,2,281290 km,117616 km,163674 km,0.6
